"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Czech Republic","CZE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","97","96","97","96","95","97","97","97","98","97","97","97","97","98","97","98","98","98","98","99","99","99","98","97","96","92","",
"Germany","DEU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","25","50","50","47","48","50","70","75","75","75","75","75","75","89","90","92","91","91","92","92","92","94","94","95","96","96","96","97","97","97","97","97","97","97","97","97","97","97","97","97","",
"Djibouti","DJI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","15","18","20","27","19","22","68","75","85","53","41","41","42","41","41","31","21","23","50","49","62","66","60","65","67","74","73","84","85","84","83","80","71","74","75","81","86","83","",
"Dominica","DMA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","43","63","85","93","97","87","90","88","88","98","99","99","99","99","99","99","98","99","99","99","99","99","99","98","97","96","99","99","99","99","99","93","94","96","96","77","84","92","",
"Denmark","DNK","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","72","80","84","86","85","81","88","88","85","84","91","92","99","94","95","96","96","95","90","89","87","84","85","87","90","89","90","91","94","97","95","96","",
"Dominican Republic","DOM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","30","18","25","24","19","54","71","71","29","65","70","72","73","75","76","78","79","79","80","83","85","88","86","83","81","79","81","82","83","84","85","87","88","83","88","90","85","86","95","96","",
"Algeria","DZA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","68","67","73","81","82","83","85","86","87","88","89","90","92","84","83","80","83","81","84","81","83","91","92","88","92","95","95","95","95","95","95","94","88","80","80","",
"East Asia & Pacific (excluding high income)","EAP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","0.340193214629093","0.362338914528531","0.909038959331159","52.1027898957615","59.1452645283743","66.1478860466626","55.4152873794582","67.2578424813757","82.8109638772323","85.7115591915049","89.9592488635756","86.3776461542921","82.5480642692057","78.8045378397859","75.383061393189","77.9075941200967","82.5592301728493","81.9461801707165","82.4688797741153","83.1954571997193","82.9438958129372","83.5415053594432","83.0611424959288","83.7694052138956","85.6190755290894","85.6656566538493","89.7320998319483","89.4069911557758","91.8527046594434","92.9123601359526","93.0356011637561","93.8705252622201","94.0010581316749","94.9784386690495","94.189010095185","94.3509525433489","94.492644115168","93.9928959375669","93.6601108355547","93.1476874508373","",
"Early-demographic dividend","EAR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","7.76265988471622","9.50575489667195","11.2551904322703","13.5846900457393","16.4235510152529","23.575504620546","30.2331449374333","37.7221275418952","45.678551864892","54.45764084171","62.8098868402512","57.5440162731383","61.7139606255837","65.5028251099698","70.355207260094","71.3300725773635","70.8930369446363","66.5779475967526","66.6426376652876","67.8497426041566","67.9686252059021","68.4346476764587","67.5135473905935","69.8470175003201","72.3067966959303","74.58655915167","75.522216314473","76.0789824136681","77.2415454199676","80.145485554363","81.8755338526839","83.9530229223618","83.1421130455911","83.4255554502736","84.3385958773806","85.7315762215788","86.3522199356333","85.8817851157566","86.7636905367913","86.9312550533198","",
"East Asia & Pacific","EAS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","3.93481422807429","3.68588053801496","4.21395498748309","52.6544567380557","59.9000973502533","66.9461435212783","56.9831708061989","67.8357254824027","82.345201275622","85.5518514432346","89.4437061738809","86.0028006449013","82.3096547552899","78.7601373602045","76.0866562460273","78.9634655800943","83.3415077725564","82.5748996682995","83.0248400472416","83.8404638061265","83.7481445308418","84.3451748966546","83.9625526087197","84.5999726693971","86.3752883566135","86.4139413283809","90.1681338406842","89.7187619373989","91.9837668857073","92.9594686099494","93.1525016501026","93.9542375911355","94.1429885796897","95.023094519266","94.3873443675215","94.4636369559609","94.5937563722814","94.1410986069004","93.8355844296623","93.3176572009524","",
"Europe & Central Asia (excluding high income)","ECA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.4344784766506","82.7139735348353","80.9071286640973","82.2789812309429","85.1212182323664","88.9456304014416","89.8746996072319","91.0218043395062","92.9591798423013","94.2124450434838","91.9642327150219","90.4492000021493","92.2117920002598","95.0429388900273","96.484226369519","96.5725316170499","96.546179370415","94.4706864661863","93.5471946038816","94.7088009606165","95.1808554980006","95.7806474675302","93.2123393435282","93.9006581583032","93.0672674751168","95.9112447557438","96.0866625374465","96.6981294043551","",
"Europe & Central Asia","ECS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2342112864728","82.6878684648314","82.6930488306043","83.9296862223742","86.1267074626374","88.0573247432979","88.0513481869895","89.4478351415607","90.7452436359618","91.6927387879151","90.9191164706672","90.3653538665966","91.4203361661126","93.024680532502","94.4012690989359","94.7153466726853","94.7675253490034","93.6530082164987","93.3505406077784","94.1325645097725","94.7254323146491","95.0027866209488","93.5469998921003","93.8075664890807","93.2719534211814","95.1036437879982","95.174769469124","95.5089105836183","",
"Ecuador","ECU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","24","31","45","34","54","51","50","47","53","57","60","54","69","85","83","81","79","77","89","99","99","99","99","99","99","93","97","98","98","97","95","94","96","97","85","84","86","81","83","83","",
